,0
0,Alaska
1,Connecticut
2,Florida
3,Georgia
4,Idaho
5,Illinois
6,Indiana
7,Iowa
8,Kansas
9,Kentucky
10,Louisiana
11,Maine
12,Maryland
13,Massachusetts
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,Nevada
20,New Jersey
21,New York
22,North Carolina
23,North Dakota
24,Oklahoma
25,Oregon
26,Rhode Island
27,South Carolina
28,South Dakota
29,Tennessee
30,Vermont
31,Virginia
32,West Virginia
33,Wisconsin
34,Wyoming
